primary_track,program_duration_days,placed,employment_status,highest_level_of_education,length_of_job_search,biggest_challenge_in_search,professional_experience,work_authorization_status,number_of_interviews,number_of_applications,gender,race,cohort_tag_month,cohort_tag_fortnight
1,0.0,0,2,4,3,1,3,2,0.0,0,2,2,1,1
3,0.0,0,0,0,3,2,3,2,5.0,25,2,1,1,1
4,89.0,1,5,0,0,5,0,4,10.0,100,2,2,1,0
4,0.0,0,1,4,0,8,1,5,5.0,100,2,2,1,0
4,0.0,0,1,4,3,4,1,5,0.0,9,2,0,1,1
4,19.0,0,2,0,3,2,0,2,4.0,15,1,3,1,0
4,13.0,0,1,4,3,2,1,2,0.0,10,2,0,11,0
3,0.0,0,5,4,0,5,0,8,0.0,3,2,3,1,1
0,158.0,0,5,4,1,6,2,2,5.0,50,2,1,1,2
1,12.0,0,0,0,2,4,0,5,3.0,10,2,4,10,0
3,52.0,0,2,0,0,6,3,2,4.0,40,2,6,10,0
0,13.0,0,1,0,0,2,0,2,0.0,70,2,3,1,0
4,11.0,0,4,4,1,5,1,4,1.0,9,2,0,9,0
4,93.0,0,0,0,2,5,0,2,1.0,10,1,2,1,0
3,193.0,1,5,4,2,5,0,2,5.0,4,2,6,9,1
1,0.0,0,0,7,0,5,1,5,0.0,20,0,2,9,1
4,12.0,0,5,0,1,8,2,2,0.0,20,1,2,9,0
3,0.0,0,1,0,2,5,3,2,1.0,45,2,6,4,0
1,13.0,0,5,4,0,4,0,4,0.0,110,1,3,4,1
4,73.0,1,4,4,3,1,0,3,0.0,1,2,2,9,0
4,286.0,0,4,0,0,5,0,4,0.0,15,1,2,9,0
4,5.0,0,4,5,2,1,2,2,5.0,30,1,8,4,1
0,19.0,0,4,4,3,0,1,4,3.0,9,1,2,9,0
1,7.0,0,0,4,0,5,0,2,6.0,80,1,2,2,0
4,83.0,1,1,4,1,2,2,4,1.0,15,2,5,9,0
3,0.0,0,4,4,0,5,0,4,0.0,25,1,7,4,0
3,13.0,0,5,0,2,3,1,2,1.0,60,1,2,4,0
3,12.0,0,5,0,0,5,1,2,3.0,100,2,3,1,1
4,14.0,0,1,0,3,3,3,4,0.0,50,1,7,1,0
4,16.0,0,1,0,3,5,3,2,0.0,35,2,1,1,0
1,15.0,0,5,0,3,8,3,2,2.0,7,2,6,5,1
